alert_id,party_id,account_id,typology,scenario_rule,severity,status,disposition,assigned_tier,alert_month,age_days,amount_involved,match_score,initial_detection_date
ALT-7001,PTY-6010,ACC-7010,sanctions_near_match,sanctions_screening_fuzzy_match,critical,open,,l1,2026-07,2,92000.00,0.93,2026-07-24
ALT-7002,PTY-6003,ACC-7003,structuring,just_under_ctr_threshold_paired_deposits,high,open,,l1,2026-07,5,58400.00,0.00,2026-07-21
ALT-7003,PTY-6008,ACC-7008,peer_anomaly,peer_group_deviation_sic_5411,medium,open,,l1,2026-07,9,42000.00,0.00,2026-07-17
ALT-7004,PTY-6011,ACC-7011,dormant_activity,dormant_reactivation_inbound_then_outbound,medium,open,,l1,2026-07,3,31200.00,0.00,2026-07-23
ALT-7005,PTY-6006,ACC-7006,layering,multi_hop_wire_chain_offshore_termination,critical,open,,l2,2026-06,32,141000.00,0.00,2026-06-22
ALT-6990,PTY-6002,ACC-7002,funnel_account,many_to_one_inbound_pattern,high,closed,recommend_sar,l2,2026-05,46,289000.00,0.00,2026-05-10
ALT-6985,PTY-6001,ACC-7001,sanctions_near_match,sanctions_screening_fuzzy_match,low,closed,clear_false_positive,l1,2026-04,3,4500.00,0.34,2026-04-02
ALT-6978,PTY-6003,ACC-7003,structuring,just_under_ctr_threshold_paired_deposits,medium,closed,recommend_ctr,l1,2026-03,4,10800.00,0.00,2026-03-14
ALT-6960,PTY-6010,ACC-7010,sanctions_near_match,sanctions_screening_fuzzy_match,critical,closed,sanctions_true_hit,l2,2026-02,1,118000.00,0.97,2026-02-08
ALT-6950,PTY-6007,ACC-7007,peer_anomaly,peer_group_deviation_pep_review,medium,closed,edd_required,l1,2026-01,6,15400.00,0.00,2026-01-20
