txn_id,party_id,account_id,txn_date,txn_month,channel,direction,amount,counterparty_id,counterparty_jurisdiction,branch_id,cross_border
TXN-7101,PTY-6003,ACC-7003,2026-07-02,2026-07,cash,credit,9200.00,CPTY-8801,FL,BR-014,no
TXN-7102,PTY-6003,ACC-7003,2026-07-02,2026-07,cash,credit,8700.00,CPTY-8802,FL,BR-022,no
TXN-7103,PTY-6003,ACC-7003,2026-07-09,2026-07,cash,credit,9400.00,CPTY-8803,FL,BR-014,no
TXN-7104,PTY-6003,ACC-7003,2026-07-09,2026-07,cash,credit,8950.00,CPTY-8804,FL,BR-031,no
TXN-7105,PTY-6002,ACC-7002,2026-07-11,2026-07,wire,credit,148000.00,CPTY-8805,Cyprus,BR-014,yes
TXN-7106,PTY-6006,ACC-7006,2026-07-11,2026-07,wire,debit,141000.00,CPTY-8806,Cayman Islands,BR-014,yes
TXN-7107,PTY-6006,ACC-7006,2026-07-12,2026-07,wire,debit,138000.00,CPTY-8807,Vietnam,BR-014,yes
TXN-7108,PTY-6008,ACC-7008,2026-06-25,2026-06,wire,debit,54000.00,CPTY-8808,Nigeria,BR-055,yes
TXN-7109,PTY-6008,ACC-7008,2026-07-02,2026-07,wire,debit,61000.00,CPTY-8809,Nigeria,BR-055,yes
TXN-7110,PTY-6011,ACC-7011,2026-07-14,2026-07,wire,credit,8600.00,CPTY-8810,TX,BR-090,no
TXN-7111,PTY-6011,ACC-7011,2026-07-14,2026-07,wire,credit,7200.00,CPTY-8811,WA,BR-090,no
TXN-7112,PTY-6011,ACC-7011,2026-07-15,2026-07,wire,debit,15400.00,CPTY-8812,Hong Kong,BR-090,yes
TXN-7113,PTY-6010,ACC-7010,2026-06-30,2026-06,wire,credit,92000.00,CPTY-8813,United Arab Emirates,BR-014,yes
TXN-7114,PTY-6005,ACC-7005,2026-07-05,2026-07,wire,debit,210000.00,CPTY-8814,Singapore,BR-014,yes
TXN-7115,PTY-6001,ACC-7001,2026-07-10,2026-07,ach,credit,4500.00,CPTY-8815,TX,BR-022,no
TXN-7116,PTY-6004,ACC-7004,2026-07-08,2026-07,ach,credit,2800.00,CPTY-8816,CA,BR-031,no
