lead_id,provider_npi,lead_source,fwa_typology,fwa_score,exposure_amount,status,priority,opened_month,assigned_to,outcome
LED-8001,1955010002,nightly_scan,impossible_day,0.93,168000.00,new,critical,2026-07,unassigned,pending
LED-8002,1955010009,member_complaint,phantom_billing,0.77,41000.00,new,high,2026-07,unassigned,pending
LED-8003,1955010003,leie_refresh,medical_necessity_abuse,0.68,58000.00,new,high,2026-07,unassigned,pending
LED-8004,1955010001,data_mining,upcoding,0.88,76000.00,new,medium,2026-05,unassigned,pending
LED-8005,1955010007,data_mining,kickback_referral_scheme,0.42,2100.00,new,low,2026-07,unassigned,pending
LED-7940,1955010004,nightly_scan,unbundling,0.71,18500.00,closed,medium,2026-06,ops-queue,confirmed
LED-7925,1955010005,nightly_scan,upcoding,0.22,3200.00,closed,low,2026-05,ops-queue,false_positive
LED-7910,1955010006,data_mining,medical_necessity_abuse,0.31,4100.00,closed,low,2026-04,ops-queue,false_positive
LED-7895,1955010003,leie_refresh,medical_necessity_abuse,0.89,410000.00,referred,critical,2026-02,siu-director,confirmed
LED-7880,1955010007,hotline,kickback_referral_scheme,0.81,95000.00,referred,high,2026-03,siu-director,confirmed
